NEWP!Models/BPNew/playeranim.j3o!0!(20.31072, 4.0, -47.205162)
NEWBasketballAgent!Models/BPNew/carlanim.j3o!1!(-9.899204, 4.0, -2.265316)
NEWBasketballAgent!Models/BPNew/bobanim.j3o!2!(-18.384735, 4.0, -49.108326)
NEWCollabAgent!Models/BPNew/alananim.j3o!3!(26.2501, 4.0, 1.8516083)
1025$B(19.971579, 3.7531767, -47.385433)$0P$(20.31071, 4.018754, -47.205177)$282.288$23:(0.19590977, -0.23763971, -9.0824315E-8, 0.951392);24:(0.017274747, 0.552934, -2.0337224E-7, 0.83304596);13:(0.058084913, 0.22016808, 8.4146784E-8, 0.97373104);14:(-0.25371745, 0.146108, 2.4961187E-7, 0.95617986);10:(0.031058704, 0.06182254, -7.185876E-9, 0.9976038);$5$0.193$0.193$1A$(-8.941345, 3.9577937, -2.300522)$101.33341$18$18$0.619$0.619$2A$(-16.28126, 3.9372294, -48.81197)$87.18428$2$2$0.393$0.393$3A$(26.250027, 3.8750455, 1.8516101)$196.80302$18$18$0.651$0.651$
1041$B(19.971579, 3.7533932, -47.385433)$0P$(20.31071, 4.018984, -47.205177)$283.174$23:(0.19681028, -0.23892683, -9.1316245E-8, 0.9508836);24:(0.0169848, 0.5489474, -2.0210727E-7, 0.83568436);13:(0.05898483, 0.21989693, 8.404314E-8, 0.97373825);14:(-0.2286939, 0.17345072, 2.0804804E-7, 0.9579217);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.008$0.008$1A$(-8.874721, 3.9550688, -2.3028803)$101.33341$18$2$0.635$0.000$2A$(-16.217722, 3.9379869, -48.80313)$87.18428$2$2$0.408$0.408$3A$(26.250023, 3.8750756, 1.8516101)$196.80302$18$18$0.667$0.667$
1057$B(19.948278, 3.8014731, -47.292484)$0P$(20.31071, 4.0187306, -47.205177)$283.174$23:(0.20246994, -0.238661, -9.121465E-8, 0.94976145);24:(0.02095614, 0.54577595, -1.9598494E-7, 0.8376691);13:(0.06072912, 0.22119124, 8.453782E-8, 0.97333777);14:(-0.22632645, 0.17074911, 2.06262E-7, 0.95896876);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.024$0.024$1A$(-8.808096, 3.952344, -2.3052385)$101.33341$2$2$0.000$0.016$2A$(-16.154102, 3.9386272, -48.794277)$87.18428$2$2$0.424$0.424$3A$(26.250023, 3.8751, 1.8516101)$196.80302$18$18$0.683$0.683$
1076$B(19.929968, 3.7996786, -47.287827)$0P$(20.31071, 4.0187597, -47.205177)$283.174$23:(0.20246994, -0.238661, -9.121465E-8, 0.94976145);24:(0.02095614, 0.54577595, -1.9598494E-7, 0.8376691);13:(0.06072912, 0.22119124, 8.453782E-8, 0.97333777);14:(-0.22632645, 0.17074911, 2.06262E-7, 0.95896876);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.040$0.040$1A$(-8.744099, 3.9532185, -2.307519)$101.33341$2$2$0.016$0.032$2A$(-16.090435, 3.9391918, -48.78541)$87.18428$2$2$0.440$0.440$3A$(26.250023, 3.875119, 1.8516101)$196.80302$18$18$0.699$0.699$
1093$B(19.929968, 3.7997077, -47.287827)$0P$(20.31071, 4.0185375, -47.205177)$283.174$23:(0.20246994, -0.238661, -9.121465E-8, 0.94976145);24:(0.02095614, 0.54577595, -1.9598494E-7, 0.8376691);13:(0.06072912, 0.22119124, 8.453782E-8, 0.97333777);14:(-0.22632645, 0.17074911, 2.06262E-7, 0.95896876);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.059$0.059$1A$(-8.680208, 3.954204, -2.309804)$101.33341$2$2$0.034$0.051$2A$(-16.026762, 3.9397364, -48.776535)$87.18428$2$2$0.459$0.459$3A$(26.250023, 3.875134, 1.8516101)$196.80302$18$18$0.717$0.717$
1109$B(19.929968, 3.7994854, -47.287827)$0P$(20.31071, 4.018754, -47.205177)$283.174$23:(0.20246994, -0.238661, -9.121465E-8, 0.94976145);24:(0.02095614, 0.54577595, -1.9598494E-7, 0.8376691);13:(0.06072912, 0.22119124, 8.453782E-8, 0.97333777);14:(-0.22632645, 0.17074911, 2.06262E-7, 0.95896876);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.077$0.077$1A$(-8.617981, 3.9570405, -2.3121688)$101.33341$2$2$0.052$0.069$2A$(-15.963797, 3.941123, -48.767708)$87.18428$2$2$0.477$0.477$3A$(26.250023, 3.8751462, 1.8516101)$196.80302$18$18$0.735$0.735$
1126$B(19.929968, 3.799702, -47.287827)$0P$(20.31071, 4.018984, -47.205177)$283.174$23:(0.20246994, -0.238661, -9.121465E-8, 0.94976145);24:(0.02095614, 0.54577595, -1.9598494E-7, 0.8376691);13:(0.06072912, 0.22119124, 8.453782E-8, 0.97333777);14:(-0.22632645, 0.17074911, 2.06262E-7, 0.95896876);10:(0.03411732, 0.061026353, -7.0933326E-9, 0.99755293);$5$0.092$0.092$1A$(-8.551356, 3.9543157, -2.3145266)$101.33341$2$2$0.068$0.084$2A$(-15.897763, 3.9383981, -48.75854)$87.18428$2$2$0.492$0.492$3A$(26.250023, 3.8751562, 1.8516101)$196.80302$18$18$0.750$0.750$
1142$B(19.929968, 3.7999318, -47.287827)$0P$(20.31071, 4.0187306, -47.205177)$284.89$23:(0.20181574, -0.23506597, -8.984064E-8, 0.9507967);24:(0.015032982, 0.55281776, -2.0605444E-7, 0.8331666);13:(0.06653685, 0.22506326, 8.601768E-8, 0.9720696);14:(-0.25345522, 0.1441254, 2.5009717E-7, 0.95655024);10:(0.034658927, 0.06240147, -7.2531674E-9, 0.99744916);$5$0.109$0.109$1A$(-8.490897, 3.958901, -2.3170445)$101.33341$2$2$0.085$0.101$2A$(-15.834301, 3.9392233, -48.749702)$87.18428$2$2$0.509$0.509$3A$(26.250023, 3.8751638, 1.8516101)$196.80302$18$18$0.768$0.768$
1157$B(19.939442, 3.7548072, -47.337357)$0P$(20.31071, 4.0187597, -47.205177)$284.89$23:(0.20764007, -0.23838985, -9.111102E-8, 0.94871277);24:(0.024629273, 0.54516715, -1.9126574E-7, 0.8379655);13:(0.0647781, 0.22469254, 8.5875996E-8, 0.9722742);14:(-0.25016364, 0.14026354, 2.4765689E-7, 0.95798975);10:(0.034658927, 0.06240147, -7.2531674E-9, 0.99744916);$5$0.125$0.125$1A$(-8.424273, 3.956176, -2.319401)$101.33341$2$2$0.101$0.117$2A$(-15.770971, 3.94019, -48.740864)$87.18428$2$2$0.525$0.525$3A$(26.250023, 3.87517, 1.8516101)$196.80302$18$18$0.784$0.784$
1173$B(19.929188, 3.7489786, -47.347637)$0P$(20.31071, 4.0185375, -47.205177)$284.89$23:(0.20764007, -0.23838985, -9.111102E-8, 0.94871277);24:(0.024629273, 0.54516715, -1.9126574E-7, 0.8379655);13:(0.0647781, 0.22469254, 8.5875996E-8, 0.9722742);14:(-0.25016364, 0.14026354, 2.4765689E-7, 0.95798975);10:(0.034658927, 0.06240147, -7.2531674E-9, 0.99744916);$5$0.141$0.141$1A$(-8.357648, 3.9534512, -2.3217576)$101.33341$2$2$0.116$0.133$2A$(-15.7085905, 3.942203, -48.73193)$87.18428$2$2$0.541$0.541$3A$(26.250023, 3.8751752, 1.8516101)$196.80302$18$18$0.799$0.799$
